piece1,piece2,exactotc_cost,entropicotc_cost
bach-Toccata-and-Fugue-dminor,sor-op32-no3-dmajor,0.0289010284181279,0.029999913106711
bach-Toccata-and-Fugue-dminor,sor-op35-no1-cmajor,0.0334863285248901,0.0347366663060107
bach-Toccata-and-Fugue-dminor,sor-op35-no2-cmajor,0.0324334161330348,0.0343595087846304
bach-Toccata-and-Fugue-dminor,sor-op60-no1-cmajor,0.0287428736677215,0.029986339645243
bach-book1-fugue02-cminor,bach-book1-fugue10-eminor,0.0480320896935244,0.0507347785702044
bach-book1-fugue02-cminor,bach-book1-fugue14-fsharpminor,0.0362684645836962,0.0372732183971704
bach-book1-fugue02-cminor,bach-book1-fugue24-bminor,0.0506794905801774,0.0513048097037098
bach-book1-fugue02-cminor,bach-book1-prelude01-cmajor,0.0528100389159912,0.0535435660777854
bach-book1-fugue02-cminor,bach-book1-prelude02-cminor,-1.53199451343231e-18,0.000224655261143905
bach-book1-fugue02-cminor,bach-book1-prelude03-csharpmajor,0.053904953835963,0.0545189871398384
bach-book1-fugue02-cminor,bach-book1-prelude06-dminor,0.0222223729466208,0.0254336742538322
bach-book1-fugue02-cminor,bach-book1-prelude14-fsharpminor,0.0368320621336008,0.0377030277856157
bach-book1-fugue02-cminor,bach-book1-prelude24-bminor,0.0340902841347009,0.0348147984973253
bach-book1-fugue02-cminor,bach-book2-fugue02-cminor,0,0
bach-book1-fugue02-cminor,bach-book2-fugue07-dsharpmajor,0.000687246022041065,0.00118687148271652
bach-book1-fugue02-cminor,bach-book2-prelude02-cminor,6.317840616674e-05,0.000641992977535451
bach-book1-fugue02-cminor,bach-book2-prelude07-dsharpmajor,0,0
bach-book1-fugue02-cminor,bach-book2-prelude12-fminor,0.000650894825363171,0.00126876043229019
bach-book1-fugue02-cminor,bach-bourree-in-e-minor-piano-eminor,0.0354620161717596,0.036618537227861
bach-book1-fugue02-cminor,bach-invention2part-no13-aminor,0.00722142018442479,0.00771346496976879
bach-book1-fugue02-cminor,bach-invention2part-no4-dminor,0.0382705164103047,0.0411177882684356
bach-book1-fugue02-cminor,bach-prelude-in-cm-piano-cmajor,0.0423072537408526,0.0434219766752841
bach-book1-fugue02-cminor,beethoven-fur-elise-aminor,0.101995710237763,0.102869396056576
bach-book1-fugue02-cminor,beethoven-minuet-in-G-gmajor,0.0471718912083927,0.0475909591923839
bach-book1-fugue02-cminor,beethoven-moonlight-movement1-csharpminor,0.0393145030520188,0.0397724690522062
bach-book1-fugue02-cminor,beethoven-piano-sonata-pathetique-2-cminor,0.0448101515886609,0.0455237921000123
bach-book1-fugue02-cminor,beethoven-symphony7-2-liszt-piano-aminor,0.0428807883859629,0.043817643399835
bach-book1-fugue02-cminor,beethoven-symphony9-4-ode-to-joy-piano-solo-dminor,0.0398682043489768,0.0401353858552792
bach-book1-fugue02-cminor,beethoven-violin-sonata1-1-piano-fminor,0.046060175824259,0.0468033541919882
bach-book1-fugue02-cminor,chopin-Waltz-op64-no2-csharpminor,0.0453891237459054,0.0458530762462406
bach-book1-fugue02-cminor,chopin-etude-op10-no4-csharpminor,0.00351059823420501,0.00363586426161954
bach-book1-fugue02-cminor,chopin-minute-waltz-csharpmajor,0.0356311324090169,0.0370596234721131
bach-book1-fugue02-cminor,chopin-nocturne-no20-csharpminor,0.0339180642722612,0.0356101777199675
bach-book1-fugue02-cminor,chopin-nocturne-op9-no2-dsharpmajor,0.000418937399141254,0.000581885827468347
bach-book1-fugue02-cminor,chopin-piano-sonata-2-op35-3-funeral-march-asharpminor,0.0218460104870209,0.0229777698239157
bach-book1-fugue02-cminor,chopin-prelude04-eminor,0.0357288775370277,0.0360487946910461
bach-book1-fugue02-cminor,chopin-prelude06-bminor,0.193890673957723,0.19459038216743
bach-book1-fugue02-cminor,chopin-prelude07-amajor,0.0360422413177953,0.0364667746074174
bach-book1-fugue02-cminor,chopin-prelude15-csharpmajor,0.030067799266255,0.0305785439501334
bach-book1-fugue02-cminor,chopin-prelude20-cminor,0.000224151002271076,0.000317306292974563
bach-book1-fugue02-cminor,chopin-waltz-op18-grande-brillante-dsharpmajor,0.0169470452640439,0.0175504916311656
bach-book1-fugue02-cminor,mozart-alla-turca-amajor,0.031398771089786,0.0318986003789378
bach-book1-fugue02-cminor,mozart-horn-concerto4-3-rondo-dsharpmajor,0.03992454573001,0.040297104318288
bach-book1-fugue02-cminor,mozart-minuet-and-trio-k1-gmajor,0.0441356871250334,0.0446558612980448
bach-book1-fugue02-cminor,mozart-minuet-k2-fmajor,0.0367435377934213,0.0371503447535042
bach-book1-fugue02-cminor,mozart-osterreichische-bundeshymne-dsharpmajor,0.0390595054636411,0.039597144500662
bach-book1-fugue02-cminor,mozart-piano-concerto-21-2-piano-solo-cmajor,0.00115097066329111,0.00207718858977932
bach-book1-fugue02-cminor,mozart-piano-sonata-k333-movement1-asharpmajor,1.582004549787e-05,0.000379799913783172
bach-book1-fugue02-cminor,mozart-sonata-in-cmajor,0.0322638229034858,0.0397257768732747
bach-book1-fugue02-cminor,mozart-symphony40-1-piano-solo-gminor,0.000120952050876097,0.000653490780523081
bach-book1-fugue02-cminor,sor-op31-no3-dmajor,0.0401408000095421,0.0409264676560482
bach-book1-fugue02-cminor,sor-op31-no6-eminor,0.0386259645349587,0.0393859316824816
bach-book1-fugue02-cminor,sor-op31-no7-emajor,0.0397391790423741,0.0402951525680377
bach-book1-fugue02-cminor,sor-op32-no3-dmajor,0.0389951578404064,0.0392999076638257
bach-book1-fugue02-cminor,sor-op35-no1-cmajor,0.0418922673801351,0.0423791318436267
bach-book1-fugue02-cminor,sor-op35-no2-cmajor,0.0363058075051934,0.0370946649419656
bach-book1-fugue02-cminor,sor-op60-no1-cmajor,0.0431493524551447,0.0434589828657603
bach-book1-fugue10-eminor,bach-book1-fugue14-fsharpminor,0.00754485253024585,0.00857318231845029
bach-book1-fugue10-eminor,bach-book1-fugue24-bminor,2.29921666153838e-06,2.59009798842999e-05
bach-book1-fugue10-eminor,bach-book1-prelude01-cmajor,0.0509502883755768,0.0517258851736434
bach-book1-fugue10-eminor,bach-book1-prelude02-cminor,0.0053905437692372,0.00573607377449183
bach-book1-fugue10-eminor,bach-book1-prelude03-csharpmajor,0.0465000243356278,0.0473159858753278
bach-book1-fugue10-eminor,bach-book1-prelude06-dminor,0.00468108397971716,0.00580052101581402
bach-book1-fugue10-eminor,bach-book1-prelude14-fsharpminor,0.00533872754175433,0.00589603895959859
bach-book1-fugue10-eminor,bach-book1-prelude24-bminor,0.0109770097329909,0.0116161844226734
bach-book1-fugue10-eminor,bach-book2-fugue02-cminor,0.000286215254196845,0.000545034259949806
bach-book1-fugue10-eminor,bach-book2-fugue07-dsharpmajor,0.0326923501529544,0.033399559509338
bach-book1-fugue10-eminor,bach-book2-prelude02-cminor,0.00720171919147322,0.00795600880302682
bach-book1-fugue10-eminor,bach-book2-prelude07-dsharpmajor,0.0377038254055427,0.038341772134973
bach-book1-fugue10-eminor,bach-book2-prelude12-fminor,0.0225394660540077,0.0235674330109452
bach-book1-fugue10-eminor,bach-bourree-in-e-minor-piano-eminor,0.0291113888135607,0.0315531236340369
bach-book1-fugue10-eminor,bach-invention2part-no13-aminor,0.000288118425514694,0.0012885154680341
bach-book1-fugue10-eminor,bach-invention2part-no4-dminor,0.0349051802568819,0.0355472425917307
bach-book1-fugue10-eminor,bach-prelude-in-cm-piano-cmajor,0.0116748366966242,0.0123887926046689
bach-book1-fugue10-eminor,beethoven-fur-elise-aminor,0.0245061096675821,0.0255602936186597
bach-book1-fugue10-eminor,beethoven-minuet-in-G-gmajor,0.00150799484187791,0.00195385721600322
bach-book1-fugue10-eminor,beethoven-moonlight-movement1-csharpminor,0.0237450028352106,0.0243920195137119
bach-book1-fugue10-eminor,beethoven-piano-sonata-pathetique-2-cminor,0.0478375589242104,0.0485476667135064
bach-book1-fugue10-eminor,beethoven-symphony7-2-liszt-piano-aminor,0.00568240589808349,0.00673983149711741
bach-book1-fugue10-eminor,beethoven-symphony9-4-ode-to-joy-piano-solo-dminor,0.0364510402740815,0.0370702822715021
bach-book1-fugue10-eminor,beethoven-violin-sonata1-1-piano-fminor,0,0
